Chineseyear,hp_robbery,hp_homicide,hp_rape,hp_else,sc_robbery,sc_homicide,sc_rape,sc_else,,,,,
 70,291,211,80,392,263,209,78,361,,,,,
 71,322,200,72,396,272,188,67,388,,,,,
 72,423,249,93,517,309,230,90,434,,,,,
 73,413,246,120,608,369,232,128,582,,,,,
 74,628,258,100,582,453,239,97,539,,,,,
 75,838,267,136,496,653,239,132,465,,,,,hp_robbery=祇ネ眏祍穖管ン计
 76,869,248,131,577,579,228,129,506,,,,,
 77,1020,256,125,465,787,214,114,417,,,,,hp_homicide=祇ネ珿種炳ン计
 78,1091,271,101,360,885,226,115,328,,,,,
 79,979,236,123,398,849,193,111,365,,,,,hp_rape=祇ネ眏┦ユン计
 80,709,225,111,463,584,208,119,453,,,,,
 81,558,200,107,335,410,186,108,323,,,,,hp_else=祇ネ(ㄤ)猭ン计
 82,525,187,153,318,513,181,176,306,,,,,
 83,664,141,141,261,569,124,161,250,,,,,
 84,1549,217,169,421,726,195,178,360,,,,,sc_robbery=瘆莉眏祍穖管ン计
 85,1590,205,208,371,722,188,234,308,,,,,
 86,910,158,206,318,506,144,238,231,,,,,sc_homicide=瘆莉珿種炳ン计
 87,978,132,220,324,519,120,216,241,,,,,
 88,791,107,155,346,417,96,148,290,,,,,sc_rape=瘆莉眏┦ユン计
 89,652,59,149,43,389,60,151,43,,,,,
 90,751,47,144,56,459,46,139,55,,,,,sc_else=瘆莉(ㄤ)猭ン计
 91,876,86,125,69,527,86,126,64,,,,,
 92,821,76,137,64,478,76,142,72,,,,,
 93,903,62,137,46,492,56,140,57,,,,,
 94,538,61,188,34,331,65,178,45,,,,,
 95,587,59,172,39,346,70,180,39,,,,,
 96,405,60,206,10,268,56,229,14,,,,,
 97,367,57,216,11,261,57,249,14,,,,,
 98,307,70,209,8,245,68,239,9,,,,,
 99,249,50,219,8,167,56,254,5,,,,,
 100,135,47,245,7,119,43,274,7,,,,,
 101,105,50,220,6,120,53,243,7,,,,,
 102,86,65,190,5,90,65,188,4,,,,,
 103,87,55,228,4,92,59,221,3,,,,,
 104,59,72,138,4,66,67,140,5,,,,,
 105,63,66,85,4,69,66,90,4,,,,,
 106,55,56,48,5,52,58,51,5,,,,,
 107,33,67,23,7,33,66,25,6,,,,,
 108,32,44,16,5,34,53,30,6,,,,,
109,29,29,10,3,32,29,11,3,,,,,
